step,return,config
5408,9.0,PPO-MLP / CartPole-Masked (POMDP)
5416,33.0,PPO-MLP / CartPole-Masked (POMDP)
5456,23.0,PPO-MLP / CartPole-Masked (POMDP)
5456,12.0,PPO-MLP / CartPole-Masked (POMDP)
5480,15.0,PPO-MLP / CartPole-Masked (POMDP)
5504,11.0,PPO-MLP / CartPole-Masked (POMDP)
5556,12.0,PPO-MLP / CartPole-Masked (POMDP)
5560,37.0,PPO-MLP / CartPole-Masked (POMDP)
5572,28.0,PPO-MLP / CartPole-Masked (POMDP)
5604,11.0,PPO-MLP / CartPole-Masked (POMDP)
5620,14.0,PPO-MLP / CartPole-Masked (POMDP)
5668,23.0,PPO-MLP / CartPole-Masked (POMDP)
5680,14.0,PPO-MLP / CartPole-Masked (POMDP)
5680,49.0,PPO-MLP / CartPole-Masked (POMDP)
5732,12.0,PPO-MLP / CartPole-Masked (POMDP)
5732,15.0,PPO-MLP / CartPole-Masked (POMDP)
5744,34.0,PPO-MLP / CartPole-Masked (POMDP)
5760,19.0,PPO-MLP / CartPole-Masked (POMDP)
5792,14.0,PPO-MLP / CartPole-Masked (POMDP)
5832,9.0,PPO-MLP / CartPole-Masked (POMDP)
5836,18.0,PPO-MLP / CartPole-Masked (POMDP)
5872,34.0,PPO-MLP / CartPole-Masked (POMDP)
5888,12.0,PPO-MLP / CartPole-Masked (POMDP)
5920,11.0,PPO-MLP / CartPole-Masked (POMDP)
5964,18.0,PPO-MLP / CartPole-Masked (POMDP)
5976,13.0,PPO-MLP / CartPole-Masked (POMDP)
6020,68.0,PPO-MLP / CartPole-Masked (POMDP)
6068,58.0,PPO-MLP / CartPole-Masked (POMDP)
6100,33.0,PPO-MLP / CartPole-Masked (POMDP)
6116,23.0,PPO-MLP / CartPole-Masked (POMDP)
6148,42.0,PPO-MLP / CartPole-Masked (POMDP)
6164,15.0,PPO-MLP / CartPole-Masked (POMDP)
6188,17.0,PPO-MLP / CartPole-Masked (POMDP)
6220,17.0,PPO-MLP / CartPole-Masked (POMDP)
6236,17.0,PPO-MLP / CartPole-Masked (POMDP)
6260,17.0,PPO-MLP / CartPole-Masked (POMDP)
6276,51.0,PPO-MLP / CartPole-Masked (POMDP)
6320,24.0,PPO-MLP / CartPole-Masked (POMDP)
6356,29.0,PPO-MLP / CartPole-Masked (POMDP)
6360,24.0,PPO-MLP / CartPole-Masked (POMDP)
6364,21.0,PPO-MLP / CartPole-Masked (POMDP)
6384,15.0,PPO-MLP / CartPole-Masked (POMDP)
6412,12.0,PPO-MLP / CartPole-Masked (POMDP)
6420,13.0,PPO-MLP / CartPole-Masked (POMDP)
6448,22.0,PPO-MLP / CartPole-Masked (POMDP)
6452,16.0,PPO-MLP / CartPole-Masked (POMDP)
6484,17.0,PPO-MLP / CartPole-Masked (POMDP)
6596,35.0,PPO-MLP / CartPole-Masked (POMDP)
6624,43.0,PPO-MLP / CartPole-Masked (POMDP)
6652,41.0,PPO-MLP / CartPole-Masked (POMDP)
6656,14.0,PPO-MLP / CartPole-Masked (POMDP)
6668,10.0,PPO-MLP / CartPole-Masked (POMDP)
6688,66.0,PPO-MLP / CartPole-Masked (POMDP)
6724,17.0,PPO-MLP / CartPole-Masked (POMDP)
6744,21.0,PPO-MLP / CartPole-Masked (POMDP)
6780,13.0,PPO-MLP / CartPole-Masked (POMDP)
6848,25.0,PPO-MLP / CartPole-Masked (POMDP)
6888,54.0,PPO-MLP / CartPole-Masked (POMDP)
6892,27.0,PPO-MLP / CartPole-Masked (POMDP)
6908,14.0,PPO-MLP / CartPole-Masked (POMDP)
6928,59.0,PPO-MLP / CartPole-Masked (POMDP)
6952,10.0,PPO-MLP / CartPole-Masked (POMDP)
6952,14.0,PPO-MLP / CartPole-Masked (POMDP)
6996,26.0,PPO-MLP / CartPole-Masked (POMDP)
7012,14.0,PPO-MLP / CartPole-Masked (POMDP)
7060,32.0,PPO-MLP / CartPole-Masked (POMDP)
7068,13.0,PPO-MLP / CartPole-Masked (POMDP)
7076,19.0,PPO-MLP / CartPole-Masked (POMDP)
7108,11.0,PPO-MLP / CartPole-Masked (POMDP)
7140,15.0,PPO-MLP / CartPole-Masked (POMDP)
7144,18.0,PPO-MLP / CartPole-Masked (POMDP)
7172,15.0,PPO-MLP / CartPole-Masked (POMDP)
7212,16.0,PPO-MLP / CartPole-Masked (POMDP)
