step,return,config
25104,232.0,PPO-MLP / CartPole (MDP)
25212,129.0,PPO-MLP / CartPole (MDP)
25776,173.0,PPO-MLP / CartPole (MDP)
25876,194.0,PPO-MLP / CartPole (MDP)
25988,193.0,PPO-MLP / CartPole (MDP)
26028,230.0,PPO-MLP / CartPole (MDP)
26372,123.0,PPO-MLP / CartPole (MDP)
26856,216.0,PPO-MLP / CartPole (MDP)
27128,274.0,PPO-MLP / CartPole (MDP)
27304,232.0,PPO-MLP / CartPole (MDP)
27364,396.0,PPO-MLP / CartPole (MDP)
27576,179.0,PPO-MLP / CartPole (MDP)
27672,135.0,PPO-MLP / CartPole (MDP)
27860,138.0,PPO-MLP / CartPole (MDP)
27968,150.0,PPO-MLP / CartPole (MDP)
28352,193.0,PPO-MLP / CartPole (MDP)
28448,193.0,PPO-MLP / CartPole (MDP)
28604,185.0,PPO-MLP / CartPole (MDP)
28636,166.0,PPO-MLP / CartPole (MDP)
29236,220.0,PPO-MLP / CartPole (MDP)
29364,189.0,PPO-MLP / CartPole (MDP)
29424,196.0,PPO-MLP / CartPole (MDP)
29532,270.0,PPO-MLP / CartPole (MDP)
29952,131.0,PPO-MLP / CartPole (MDP)
30224,246.0,PPO-MLP / CartPole (MDP)
30232,216.0,PPO-MLP / CartPole (MDP)
30828,148.0,PPO-MLP / CartPole (MDP)
30832,219.0,PPO-MLP / CartPole (MDP)
31048,378.0,PPO-MLP / CartPole (MDP)
31236,252.0,PPO-MLP / CartPole (MDP)
31388,139.0,PPO-MLP / CartPole (MDP)
31772,234.0,PPO-MLP / CartPole (MDP)
32172,280.0,PPO-MLP / CartPole (MDP)
32192,238.0,PPO-MLP / CartPole (MDP)
32296,130.0,PPO-MLP / CartPole (MDP)
32972,168.0,PPO-MLP / CartPole (MDP)
33100,226.0,PPO-MLP / CartPole (MDP)
33132,239.0,PPO-MLP / CartPole (MDP)
33264,468.0,PPO-MLP / CartPole (MDP)
33888,228.0,PPO-MLP / CartPole (MDP)
34060,239.0,PPO-MLP / CartPole (MDP)
34180,228.0,PPO-MLP / CartPole (MDP)
34692,389.0,PPO-MLP / CartPole (MDP)
35180,322.0,PPO-MLP / CartPole (MDP)
35784,272.0,PPO-MLP / CartPole (MDP)
36016,458.0,PPO-MLP / CartPole (MDP)
36064,500.0,PPO-MLP / CartPole (MDP)
36472,322.0,PPO-MLP / CartPole (MDP)
36680,165.0,PPO-MLP / CartPole (MDP)
36924,112.0,PPO-MLP / CartPole (MDP)
36944,219.0,PPO-MLP / CartPole (MDP)
37588,226.0,PPO-MLP / CartPole (MDP)
37788,500.0,PPO-MLP / CartPole (MDP)
38272,331.0,PPO-MLP / CartPole (MDP)
38416,206.0,PPO-MLP / CartPole (MDP)
38572,195.0,PPO-MLP / CartPole (MDP)
38624,424.0,PPO-MLP / CartPole (MDP)
39136,215.0,PPO-MLP / CartPole (MDP)
39340,230.0,PPO-MLP / CartPole (MDP)
39480,226.0,PPO-MLP / CartPole (MDP)
40008,345.0,PPO-MLP / CartPole (MDP)
40132,248.0,PPO-MLP / CartPole (MDP)
40284,235.0,PPO-MLP / CartPole (MDP)
40348,216.0,PPO-MLP / CartPole (MDP)
40948,203.0,PPO-MLP / CartPole (MDP)
41212,231.0,PPO-MLP / CartPole (MDP)
41284,318.0,PPO-MLP / CartPole (MDP)
41952,400.0,PPO-MLP / CartPole (MDP)
42136,230.0,PPO-MLP / CartPole (MDP)
42340,347.0,PPO-MLP / CartPole (MDP)
42788,208.0,PPO-MLP / CartPole (MDP)
43144,251.0,PPO-MLP / CartPole (MDP)
43148,465.0,PPO-MLP / CartPole (MDP)
43196,213.0,PPO-MLP / CartPole (MDP)
43924,193.0,PPO-MLP / CartPole (MDP)
44032,208.0,PPO-MLP / CartPole (MDP)
44152,340.0,PPO-MLP / CartPole (MDP)
44296,65.0,PPO-MLP / CartPole (MDP)
44396,312.0,PPO-MLP / CartPole (MDP)
44608,170.0,PPO-MLP / CartPole (MDP)
45568,317.0,PPO-MLP / CartPole (MDP)
45628,368.0,PPO-MLP / CartPole (MDP)
45912,378.0,PPO-MLP / CartPole (MDP)
