step,return,config
5224,62.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5248,42.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5268,36.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5284,34.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5320,23.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5368,29.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5372,21.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5436,16.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5460,21.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5496,56.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5504,10.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5556,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5576,63.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5600,10.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5604,24.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5632,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5632,48.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5684,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5696,23.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5700,23.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5756,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5772,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5780,20.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5784,37.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5812,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5828,11.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5828,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5856,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
5944,28.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6000,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6012,38.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6012,45.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6060,61.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6072,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6096,20.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6144,32.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6184,27.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6188,10.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6228,10.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6272,43.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6296,58.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6328,24.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6364,16.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6364,43.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6376,11.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6412,11.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6496,32.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6496,55.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6500,30.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6508,23.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6564,16.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6568,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6572,18.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6580,19.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6632,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6656,22.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6692,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6712,32.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6728,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6760,46.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6804,22.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6804,27.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6804,18.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6812,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6880,18.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6896,22.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6932,31.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
6988,43.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7020,30.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7040,26.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7040,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7072,12.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7076,48.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7128,21.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7128,21.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7136,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7144,16.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7204,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7260,32.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7268,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7276,34.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7300,42.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7344,18.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7360,14.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7408,36.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7416,34.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7436,22.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7464,25.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7500,15.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7500,20.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7524,28.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7544,10.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7604,25.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7620,38.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7636,27.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7676,13.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7676,17.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7704,16.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
7708,40.0,PPO-MLP+FrameStack / CartPole-Masked (POMDP)
