step,return,config
4616,47.0,PPO-LSTM / CartPole-Masked (POMDP)
4632,16.0,PPO-LSTM / CartPole-Masked (POMDP)
4656,39.0,PPO-LSTM / CartPole-Masked (POMDP)
4688,23.0,PPO-LSTM / CartPole-Masked (POMDP)
4712,16.0,PPO-LSTM / CartPole-Masked (POMDP)
4744,10.0,PPO-LSTM / CartPole-Masked (POMDP)
4752,16.0,PPO-LSTM / CartPole-Masked (POMDP)
4840,10.0,PPO-LSTM / CartPole-Masked (POMDP)
4856,31.0,PPO-LSTM / CartPole-Masked (POMDP)
4856,27.0,PPO-LSTM / CartPole-Masked (POMDP)
4888,17.0,PPO-LSTM / CartPole-Masked (POMDP)
4896,25.0,PPO-LSTM / CartPole-Masked (POMDP)
4928,41.0,PPO-LSTM / CartPole-Masked (POMDP)
4944,10.0,PPO-LSTM / CartPole-Masked (POMDP)
4992,12.0,PPO-LSTM / CartPole-Masked (POMDP)
5008,69.0,PPO-LSTM / CartPole-Masked (POMDP)
5048,14.0,PPO-LSTM / CartPole-Masked (POMDP)
5088,11.0,PPO-LSTM / CartPole-Masked (POMDP)
5104,32.0,PPO-LSTM / CartPole-Masked (POMDP)
5136,29.0,PPO-LSTM / CartPole-Masked (POMDP)
5200,11.0,PPO-LSTM / CartPole-Masked (POMDP)
5200,18.0,PPO-LSTM / CartPole-Masked (POMDP)
5208,24.0,PPO-LSTM / CartPole-Masked (POMDP)
5208,14.0,PPO-LSTM / CartPole-Masked (POMDP)
5216,62.0,PPO-LSTM / CartPole-Masked (POMDP)
5248,37.0,PPO-LSTM / CartPole-Masked (POMDP)
5304,55.0,PPO-LSTM / CartPole-Masked (POMDP)
5352,12.0,PPO-LSTM / CartPole-Masked (POMDP)
5352,26.0,PPO-LSTM / CartPole-Masked (POMDP)
5352,18.0,PPO-LSTM / CartPole-Masked (POMDP)
5360,18.0,PPO-LSTM / CartPole-Masked (POMDP)
5376,20.0,PPO-LSTM / CartPole-Masked (POMDP)
5424,25.0,PPO-LSTM / CartPole-Masked (POMDP)
5472,14.0,PPO-LSTM / CartPole-Masked (POMDP)
5480,21.0,PPO-LSTM / CartPole-Masked (POMDP)
5504,18.0,PPO-LSTM / CartPole-Masked (POMDP)
5552,24.0,PPO-LSTM / CartPole-Masked (POMDP)
5584,27.0,PPO-LSTM / CartPole-Masked (POMDP)
5584,19.0,PPO-LSTM / CartPole-Masked (POMDP)
5616,16.0,PPO-LSTM / CartPole-Masked (POMDP)
5664,57.0,PPO-LSTM / CartPole-Masked (POMDP)
5664,35.0,PPO-LSTM / CartPole-Masked (POMDP)
5680,11.0,PPO-LSTM / CartPole-Masked (POMDP)
5712,29.0,PPO-LSTM / CartPole-Masked (POMDP)
5728,27.0,PPO-LSTM / CartPole-Masked (POMDP)
5776,27.0,PPO-LSTM / CartPole-Masked (POMDP)
5800,26.0,PPO-LSTM / CartPole-Masked (POMDP)
5800,14.0,PPO-LSTM / CartPole-Masked (POMDP)
5832,12.0,PPO-LSTM / CartPole-Masked (POMDP)
5848,16.0,PPO-LSTM / CartPole-Masked (POMDP)
5864,24.0,PPO-LSTM / CartPole-Masked (POMDP)
5864,24.0,PPO-LSTM / CartPole-Masked (POMDP)
5896,14.0,PPO-LSTM / CartPole-Masked (POMDP)
5928,15.0,PPO-LSTM / CartPole-Masked (POMDP)
5944,17.0,PPO-LSTM / CartPole-Masked (POMDP)
5960,13.0,PPO-LSTM / CartPole-Masked (POMDP)
5960,11.0,PPO-LSTM / CartPole-Masked (POMDP)
6040,11.0,PPO-LSTM / CartPole-Masked (POMDP)
6064,16.0,PPO-LSTM / CartPole-Masked (POMDP)
6064,12.0,PPO-LSTM / CartPole-Masked (POMDP)
6072,56.0,PPO-LSTM / CartPole-Masked (POMDP)
6080,26.0,PPO-LSTM / CartPole-Masked (POMDP)
6096,32.0,PPO-LSTM / CartPole-Masked (POMDP)
6096,16.0,PPO-LSTM / CartPole-Masked (POMDP)
6104,25.0,PPO-LSTM / CartPole-Masked (POMDP)
6208,16.0,PPO-LSTM / CartPole-Masked (POMDP)
6208,13.0,PPO-LSTM / CartPole-Masked (POMDP)
6232,16.0,PPO-LSTM / CartPole-Masked (POMDP)
6240,16.0,PPO-LSTM / CartPole-Masked (POMDP)
6240,24.0,PPO-LSTM / CartPole-Masked (POMDP)
6272,25.0,PPO-LSTM / CartPole-Masked (POMDP)
6280,26.0,PPO-LSTM / CartPole-Masked (POMDP)
6320,29.0,PPO-LSTM / CartPole-Masked (POMDP)
6368,19.0,PPO-LSTM / CartPole-Masked (POMDP)
6368,19.0,PPO-LSTM / CartPole-Masked (POMDP)
6392,19.0,PPO-LSTM / CartPole-Masked (POMDP)
6400,14.0,PPO-LSTM / CartPole-Masked (POMDP)
6432,13.0,PPO-LSTM / CartPole-Masked (POMDP)
6440,8.0,PPO-LSTM / CartPole-Masked (POMDP)
6448,25.0,PPO-LSTM / CartPole-Masked (POMDP)
6464,23.0,PPO-LSTM / CartPole-Masked (POMDP)
6488,14.0,PPO-LSTM / CartPole-Masked (POMDP)
6488,11.0,PPO-LSTM / CartPole-Masked (POMDP)
6488,10.0,PPO-LSTM / CartPole-Masked (POMDP)
6552,38.0,PPO-LSTM / CartPole-Masked (POMDP)
6568,14.0,PPO-LSTM / CartPole-Masked (POMDP)
6576,10.0,PPO-LSTM / CartPole-Masked (POMDP)
