step,return,k,config,seed
10680,24.0,1,framestack_k1,1
10684,19.0,1,framestack_k1,1
10728,11.0,1,framestack_k1,1
10740,22.0,1,framestack_k1,1
10744,14.0,1,framestack_k1,1
10788,28.0,1,framestack_k1,1
10796,16.0,1,framestack_k1,1
10808,16.0,1,framestack_k1,1
10832,10.0,1,framestack_k1,1
10884,12.0,1,framestack_k1,1
10888,22.0,1,framestack_k1,1
10920,27.0,1,framestack_k1,1
10932,46.0,1,framestack_k1,1
10936,11.0,1,framestack_k1,1
11040,29.0,1,framestack_k1,1
11064,44.0,1,framestack_k1,1
11064,32.0,1,framestack_k1,1
11100,14.0,1,framestack_k1,1
11152,21.0,1,framestack_k1,1
11196,32.0,1,framestack_k1,1
11200,11.0,1,framestack_k1,1
11220,70.0,1,framestack_k1,1
11264,10.0,1,framestack_k1,1
11268,41.0,1,framestack_k1,1
11356,39.0,1,framestack_k1,1
11380,27.0,1,framestack_k1,1
11432,57.0,1,framestack_k1,1
11432,12.0,1,framestack_k1,1
11448,22.0,1,framestack_k1,1
11516,62.0,1,framestack_k1,1
11524,18.0,1,framestack_k1,1
11556,9.0,1,framestack_k1,1
11572,11.0,1,framestack_k1,1
11584,37.0,1,framestack_k1,1
11632,14.0,1,framestack_k1,1
11644,14.0,1,framestack_k1,1
11680,30.0,1,framestack_k1,1
11708,68.0,1,framestack_k1,1
11744,24.0,1,framestack_k1,1
11796,28.0,1,framestack_k1,1
11796,40.0,1,framestack_k1,1
11832,21.0,1,framestack_k1,1
11848,34.0,1,framestack_k1,1
11852,13.0,1,framestack_k1,1
11880,20.0,1,framestack_k1,1
11948,16.0,1,framestack_k1,1
11992,34.0,1,framestack_k1,1
12024,43.0,1,framestack_k1,1
12100,66.0,1,framestack_k1,1
12136,46.0,1,framestack_k1,1
12176,45.0,1,framestack_k1,1
12180,19.0,1,framestack_k1,1
12200,43.0,1,framestack_k1,1
12244,15.0,1,framestack_k1,1
12276,24.0,1,framestack_k1,1
12312,43.0,1,framestack_k1,1
12364,40.0,1,framestack_k1,1
12412,24.0,1,framestack_k1,1
12412,41.0,1,framestack_k1,1
12432,16.0,1,framestack_k1,1
12448,42.0,1,framestack_k1,1
12508,18.0,1,framestack_k1,1
12524,18.0,1,framestack_k1,1
12532,29.0,1,framestack_k1,1
12552,34.0,1,framestack_k1,1
12572,11.0,1,framestack_k1,1
12652,35.0,1,framestack_k1,1
12656,25.0,1,framestack_k1,1
12712,13.0,1,framestack_k1,1
12716,15.0,1,framestack_k1,1
12720,46.0,1,framestack_k1,1
12776,14.0,1,framestack_k1,1
12784,15.0,1,framestack_k1,1
12788,53.0,1,framestack_k1,1
12788,18.0,1,framestack_k1,1
12876,21.0,1,framestack_k1,1
12880,25.0,1,framestack_k1,1
12920,9.0,1,framestack_k1,1
12936,36.0,1,framestack_k1,1
12944,39.0,1,framestack_k1,1
12956,19.0,1,framestack_k1,1
13004,20.0,1,framestack_k1,1
13032,18.0,1,framestack_k1,1
13056,27.0,1,framestack_k1,1
13072,33.0,1,framestack_k1,1
13100,16.0,1,framestack_k1,1
13100,23.0,1,framestack_k1,1
13200,24.0,1,framestack_k1,1
13212,38.0,1,framestack_k1,1
13216,28.0,1,framestack_k1,1
13264,47.0,1,framestack_k1,1
13276,18.0,1,framestack_k1,1
13340,31.0,1,framestack_k1,1
13344,19.0,1,framestack_k1,1
13364,36.0,1,framestack_k1,1
13388,10.0,1,framestack_k1,1
13408,32.0,1,framestack_k1,1
13440,24.0,1,framestack_k1,1
13468,25.0,1,framestack_k1,1
13480,17.0,1,framestack_k1,1
13500,27.0,1,framestack_k1,1
13548,19.0,1,framestack_k1,1
13556,18.0,1,framestack_k1,1
13652,23.0,1,framestack_k1,1
13656,53.0,1,framestack_k1,1
13796,34.0,1,framestack_k1,1
13800,74.0,1,framestack_k1,1
13848,48.0,1,framestack_k1,1
13876,19.0,1,framestack_k1,1
13908,89.0,1,framestack_k1,1
13932,32.0,1,framestack_k1,1
13976,16.0,1,framestack_k1,1
13992,35.0,1,framestack_k1,1
13996,15.0,1,framestack_k1,1
14020,10.0,1,framestack_k1,1
14048,13.0,1,framestack_k1,1
14052,43.0,1,framestack_k1,1
14120,17.0,1,framestack_k1,1
14124,31.0,1,framestack_k1,1
14136,28.0,1,framestack_k1,1
14216,23.0,1,framestack_k1,1
14264,34.0,1,framestack_k1,1
14280,56.0,1,framestack_k1,1
14292,18.0,1,framestack_k1,1
14312,43.0,1,framestack_k1,1
14320,13.0,1,framestack_k1,1
14380,16.0,1,framestack_k1,1
14408,28.0,1,framestack_k1,1
14448,31.0,1,framestack_k1,1
14528,61.0,1,framestack_k1,1
14576,11.0,1,framestack_k1,1
14588,51.0,1,framestack_k1,1
14616,51.0,1,framestack_k1,1
14660,17.0,1,framestack_k1,1
